Row,Recency,Frequency,Monetary
1083,1084,1,2721
1084,1083,1,2217
1085,1082,1,1271
1086,1081,1,1742
1087,1080,1,2293
1088,1079,1,3155
1089,1078,1,3159
1090,1077,1,3054
1091,1076,1,2440
1092,1075,1,1532
1093,1074,1,2247
1094,1073,1,3570
1095,1072,1,3524
1096,1071,1,3471
1097,1070,1,3303
1098,1069,1,2560
1099,1068,1,1470
1100,1067,1,2234
1101,1066,1,3504
1102,1065,1,3984
1103,1064,1,3746
1104,1063,1,3524
1105,1062,1,2639
1106,1061,1,1523
1107,1060,1,2425
1108,1059,1,3671
1109,1058,1,3669
1110,1057,1,3537
1111,1056,1,3413
1112,1055,1,2699
1113,1054,1,1829
1114,1053,1,2379
1115,1052,1,3637
1116,1051,1,3775
1117,1050,1,3572
1118,1049,1,3605
1119,1048,1,2774
1120,1047,1,1780
1121,1046,1,2469
1122,1045,1,3881
1123,1044,1,3767
1124,1043,1,4082
1125,1042,1,4047
1126,1041,1,2877
1127,1040,1,2073
1128,1039,1,2759
1129,1038,1,3817
1130,1037,1,3949
1131,1036,1,3867
1132,1035,1,3621
1133,1034,1,2978
1134,1033,1,1992
1135,1032,1,2851
1136,1031,1,4390
1137,1030,1,3886
1138,1029,1,3424
1139,1028,1,4207
1140,1027,1,3345
1141,1026,1,2128
1142,1025,1,2205
1143,1024,1,4091
1144,1023,1,4223
1145,1022,1,4361
1146,1021,1,4263
1147,1020,1,3341
1148,1019,1,2278
1149,1018,1,3097
1150,1017,1,4185
1151,1016,1,4477
1152,1015,1,4354
1153,1014,1,4194
1154,1013,1,3240
1155,1012,1,2424
1156,1011,1,3168
1157,1010,1,4709
1158,1009,1,4634
1159,1008,1,4545
1160,1007,1,4532
1161,1006,1,3317
1162,1005,1,2449
1163,1004,1,2893
1164,1003,1,4170
1165,1002,1,4277
1166,1001,1,3588
1167,1000,1,3141
1168,999,1,2658
1169,998,1,2391
1170,997,1,3202
1171,996,1,4349
1172,995,1,4886
1173,994,1,4555
1174,993,1,4477
1175,992,1,3577
1176,991,1,2430
1177,990,1,3449
1178,989,1,4955
1179,988,1,4475
1180,987,1,4595
1181,986,1,4451
1182,985,1,3418
1183,984,1,2605
1184,983,1,3483
1185,982,1,4651
1186,981,1,4029
1187,980,1,4282
1188,979,1,4138
1189,978,1,4130
1190,977,1,2581
1191,976,1,3355
1192,975,1,4482
1193,974,1,4584
1194,973,1,4106
1195,972,1,3378
1196,971,1,2446
1197,970,1,1447
1198,969,1,1326
1199,968,1,1609
1200,967,1,2481
1201,966,1,2798
1202,965,1,2809
1203,964,1,2216
1204,963,1,1546
1205,962,1,1339
1206,961,1,1709
1207,960,1,3389
1208,959,1,3391
1209,958,1,3698
1210,957,1,3511
1211,956,1,2279
1212,955,1,2822
1213,954,1,4240
1214,953,1,4319
1215,952,1,4224
1216,951,1,3797
1217,950,1,3190
1218,949,1,1998
1219,948,1,2515
1220,947,1,3950
1221,946,1,4033
1222,945,1,4269
1223,944,1,4124
1224,943,1,3228
1225,942,1,2287
1226,941,1,2946
1227,940,1,4608
1228,939,1,4786
1229,938,1,4724
1230,937,1,4417
1231,936,1,3580
1232,935,1,2345
1233,934,1,3170
1234,933,1,4862
1235,932,1,4600
1236,931,1,4705
1237,930,1,4723
1238,929,1,3969
1239,928,1,2994
1240,927,1,3162
1241,926,1,4949
1242,925,1,5092
1243,924,1,4767
1244,923,1,4625
1245,922,1,3738
1246,921,1,2739
1247,920,1,3923
1248,919,1,5341
1249,918,1,5114
1250,917,1,4896
1251,916,1,4502
1252,915,1,3729
1253,914,1,2388
1254,913,1,3405
1255,912,1,5176
1256,911,1,5429
1257,910,1,5120
1258,909,1,4993
1259,908,1,4148
1260,907,1,2763
1261,906,1,3599
1262,905,1,5542
1263,904,1,5378
1264,903,1,5536
1265,902,1,4984
1266,901,1,4130
1267,900,1,2818
1268,899,1,3978
1269,898,1,5502
1270,897,1,5740
1271,896,1,5635
1272,895,1,5375
1273,894,1,4273
1274,893,1,3223
1275,892,1,3956
1276,891,1,5895
1277,890,1,6152
1278,889,1,5906
1279,888,1,6300
1280,887,1,4915
1281,886,1,3218
1282,885,1,4429
1283,884,1,5739
1284,883,1,6220
1285,882,1,6238
1286,881,1,6226
1287,880,1,4364
1288,879,1,2882
1289,878,1,4010
1290,877,1,6084
1291,876,1,5874
1292,875,1,5719
1293,874,1,5003
1294,873,1,3605
1295,872,1,2811
1296,871,1,3567
1297,870,1,5237
1298,869,1,6154
1299,868,1,5895
1300,867,1,5858
1301,866,1,5034
1302,865,1,3613
1303,864,1,4389
1304,863,1,6278
1305,862,1,6836
1306,861,1,6731
1307,860,1,6287
1308,859,1,5089
1309,858,1,3812
1310,857,1,5290
1311,856,1,7161
1312,855,1,7352
1313,854,1,7218
1314,853,1,7040
1315,852,1,5367
1316,851,1,4021
1317,850,1,5397
1318,849,1,7605
1319,848,1,7614
1320,847,1,7984
1321,846,1,7040
1322,845,1,5628
1323,844,1,3926
1324,843,1,5479
1325,842,1,6670
1326,841,1,6783
1327,840,1,7105
1328,839,1,6877
1329,838,1,5460
1330,837,1,3648
1331,836,1,4917
1332,835,1,6980
1333,834,1,6702
1334,833,1,6699
1335,832,1,6001
1336,831,1,5094
1337,830,1,3179
1338,829,1,4169
1339,828,1,6392
1340,827,1,5878
1341,826,1,5800
1342,825,1,5690
1343,824,1,4314
1344,823,1,2948
1345,822,1,3864
1346,821,1,5499
1347,820,1,5790
1348,819,1,5720
1349,818,1,5692
1350,817,1,4082
1351,816,1,2716
1352,815,1,3430
1353,814,1,4353
1354,813,1,5525
1355,812,1,5407
1356,811,1,4994
1357,810,1,3835
1358,809,1,2511
1359,808,1,3371
1360,807,1,5226
1361,806,1,5139
1362,805,1,5051
1363,804,1,4787
1364,803,1,3956
1365,802,1,2303
1366,801,1,3011
1367,800,1,4896
1368,799,1,4952
1369,798,1,4570
1370,797,1,4542
1371,796,1,3383
1372,795,1,1922
1373,794,1,2404
1374,793,1,4576
1375,792,1,4727
1376,791,1,4639
1377,790,1,4108
1378,789,1,3372
1379,788,1,1996
1380,787,1,2415
1381,786,1,4457
1382,785,1,4736
1383,784,1,4245
1384,783,1,4081
1385,782,1,3053
1386,781,1,1741
1387,780,1,2186
1388,779,1,4026
1389,778,1,3961
1390,777,1,3019
1391,776,1,3743
1392,775,1,3050
1393,774,1,1688
1394,773,1,2185
1395,772,1,4104
1396,771,1,4097
1397,770,1,3844
1398,769,1,3743
1399,768,1,3073
1400,767,1,1852
1401,766,1,2105
1402,765,1,4078
1403,764,1,4515
1404,763,1,4276
1405,762,1,4043
1406,761,1,3004
1407,760,1,1664
1408,759,1,2248
1409,758,1,4062
1410,757,1,4053
1411,756,1,3628
1412,755,1,3596
1413,754,1,3140
1414,753,1,1938
1415,752,1,2460
1416,751,1,4175
1417,750,1,4113
1418,749,1,4273
1419,748,1,4194
1420,747,1,3405
1421,746,1,1800
1422,745,1,2378
1423,744,1,4319
1424,743,1,4388
1425,742,1,4205
1426,741,1,3973
1427,740,1,3510
1428,739,1,1913
1429,738,1,2397
1430,737,1,4348
1431,736,1,3966
1432,735,1,3805
1433,734,1,3866
1434,733,1,3489
1435,732,1,2074
1436,731,1,2519
1437,730,1,4202
1438,729,1,4023
1439,728,1,4048
1440,727,1,4150
1441,726,1,3154
1442,725,1,2143
1443,724,1,2576
1444,723,1,4317
1445,722,1,4421
1446,721,1,4563
1447,720,1,4055
1448,719,1,3427
1449,718,1,1731
1450,717,1,2258
1451,716,1,3655
1452,715,1,4456
1453,714,1,4566
1454,713,1,4314
1455,712,1,3557
1456,711,1,2281
1457,710,1,3346
1458,709,1,4711
1459,708,1,4709
1460,707,1,4379
1461,706,1,4357
1462,705,1,3560
1463,704,1,2049
1464,703,1,2813
1465,702,1,5064
1466,701,1,5006
1467,700,1,4949
1468,699,1,4695
1469,698,1,3516
1470,697,1,2460
1471,696,1,2994
1472,695,1,4688
1473,694,1,4924
1474,693,1,5209
1475,692,1,5966
1476,691,1,4740
1477,690,1,2715
1478,689,1,3739
1479,688,1,5841
1480,687,1,5881
1481,686,1,5540
1482,685,1,5636
1483,684,1,4479
1484,683,1,3076
1485,682,1,3973
1486,681,1,6045
1487,680,1,6126
1488,679,1,6084
1489,678,1,6154
1490,677,1,4868
1491,676,1,3409
1492,675,1,4722
1493,674,1,6555
1494,673,1,7079
1495,672,1,6691
1496,671,1,6522
1497,670,1,4922
1498,669,1,3409
1499,668,1,4483
1500,667,1,6666
1501,666,1,6991
1502,665,1,6871
1503,664,1,6357
1504,663,1,5114
1505,662,1,3456
1506,661,1,4924
1507,660,1,6837
1508,659,1,6481
1509,658,1,6296
1510,657,1,6044
1511,656,1,4860
1512,655,1,3430
1513,654,1,4638
1514,653,1,6365
1515,652,1,6330
1516,651,1,5865
1517,650,1,5692
1518,649,1,5026
1519,648,1,3506
1520,647,1,4778
1521,646,1,6684
1522,645,1,6766
1523,644,1,6916
1524,643,1,6440
1525,642,1,5066
1526,641,1,3503
1527,640,1,4855
1528,639,1,6818
1529,638,1,6239
1530,637,1,5471
1531,636,1,4453
1532,635,1,4062
1533,634,1,3485
1534,633,1,4906
1535,632,1,7099
1536,631,1,7503
1537,630,1,7554
1538,629,1,7169
1539,628,1,5608
1540,627,1,4055
1541,626,1,5611
1542,625,1,7650
1543,624,1,7372
1544,623,1,7369
1545,622,1,7250
1546,621,1,5735
1547,620,1,4614
1548,619,1,5979
1549,618,1,7840
1550,617,1,7659
1551,616,1,7319
1552,615,1,6373
1553,614,1,4897
1554,613,1,3325
1555,612,1,3874
1556,611,1,5436
1557,610,1,5174
1558,609,1,4873
1559,608,1,3913
1560,607,1,2934
1561,606,1,1523
1562,605,1,1859
1563,604,1,1835
1564,603,1,1852
1565,602,1,2357
1566,601,1,2583
1567,600,1,2477
1568,599,1,1694
1569,598,1,1985
1570,597,1,1723
1571,596,1,1715
1572,595,1,3431
1573,594,1,4118
1574,593,1,3504
1575,592,1,2308
1576,591,1,2925
1577,590,1,4587
1578,589,1,4731
1579,588,1,4831
1580,587,1,4162
1581,586,1,3726
1582,585,1,2458
1583,584,1,3266
1584,583,1,5016
1585,582,1,4732
1586,581,1,4938
1587,580,1,5033
1588,579,1,4114
1589,578,1,2780
1590,577,1,4205
1591,576,1,4983
1592,575,1,5182
1593,574,1,5316
1594,573,1,5021
1595,572,1,4230
1596,571,1,2743
1597,570,1,3890
1598,569,1,5575
1599,568,1,5732
1600,567,1,5402
1601,566,1,5069
1602,565,1,4222
1603,564,1,2864
1604,563,1,3598
1605,562,1,5366
1606,561,1,5427
1607,560,1,5667
1608,559,1,5517
1609,558,1,4420
1610,557,1,3150
1611,556,1,4264
1612,555,1,6569
1613,554,1,6145
1614,553,1,5743
1615,552,1,5512
1616,551,1,4127
1617,550,1,3309
1618,549,1,3761
1619,548,1,5592
1620,547,1,6100
1621,546,1,6208
1622,545,1,5730
1623,544,1,4372
1624,543,1,3378
1625,542,1,4367
1626,541,1,6318
1627,540,1,6431
1628,539,1,5919
1629,538,1,5668
1630,537,1,4581
1631,536,1,3383
1632,535,1,4311
1633,534,1,6357
1634,533,1,6092
1635,532,1,5772
1636,531,1,5861
1637,530,1,4600
1638,529,1,3390
1639,528,1,4099
1640,527,1,6240
1641,526,1,5871
1642,525,1,6381
1643,524,1,5853
1644,523,1,4425
1645,522,1,2961
1646,521,1,4008
1647,520,1,5830
1648,519,1,6089
1649,518,1,5800
1650,517,1,5431
1651,516,1,4560
1652,515,1,3256
1653,514,1,4156
1654,513,1,6060
1655,512,1,6191
1656,511,1,6678
1657,510,1,6167
1658,509,1,4441
1659,508,1,3243
1660,507,1,4260
1661,506,1,6078
1662,505,1,6824
1663,504,1,6621
1664,503,1,6231
1665,502,1,4776
1666,501,1,3148
1667,500,1,4357
1668,499,1,6794
1669,498,1,6688
1670,497,1,6570
1671,496,1,6113
1672,495,1,4856
1673,494,1,3401
1674,493,1,4551
1675,492,1,6614
1676,491,1,7019
1677,490,1,6643
1678,489,1,5398
1679,488,1,4323
1680,487,1,3546
1681,486,1,4312
1682,485,1,6363
1683,484,1,6797
1684,483,1,7144
1685,482,1,6555
1686,481,1,5400
1687,480,1,3710
1688,479,1,4788
1689,478,1,6232
1690,477,1,6093
1691,476,1,6117
1692,475,1,6274
1693,474,1,4774
1694,473,1,3437
1695,472,1,4330
1696,471,1,5902
1697,470,1,6064
1698,469,1,5709
1699,468,1,5596
1700,467,1,4498
1701,466,1,3258
1702,465,1,3571
1703,464,1,5677
1704,463,1,5534
1705,462,1,5391
1706,461,1,5043
1707,460,1,3993
1708,459,1,2565
1709,458,1,3369
1710,457,1,4993
1711,456,1,4728
1712,455,1,4963
1713,454,1,4637
1714,453,1,3694
1715,452,1,2460
1716,451,1,3006
1717,450,1,3992
1718,449,1,4960
1719,448,1,4376
1720,447,1,4143
1721,446,1,3359
1722,445,1,2218
1723,444,1,2768
1724,443,1,3967
1725,442,1,4501
1726,441,1,3973
1727,440,1,4259
1728,439,1,3181
1729,438,1,2170
1730,437,1,2810
1731,436,1,4420
1732,435,1,4793
1733,434,1,4410
1734,433,1,4076
1735,432,1,3287
1736,431,1,2176
1737,430,1,2516
1738,429,1,4142
1739,428,1,4225
1740,427,1,4162
1741,426,1,3716
1742,425,1,3333
1743,424,1,1918
1744,423,1,2344
1745,422,1,3691
1746,421,1,4035
1747,420,1,3939
1748,419,1,3738
1749,418,1,2846
1750,417,1,1733
1751,416,1,2184
1752,415,1,3512
1753,414,1,3675
1754,413,1,3831
1755,412,1,2801
1756,411,1,2552
1757,410,1,1950
1758,409,1,2110
1759,408,1,4303
1760,407,1,3883
1761,406,1,4244
1762,405,1,3765
1763,404,1,3286
1764,403,1,1851
1765,402,1,2580
1766,401,1,4140
1767,400,1,4076
1768,399,1,4141
1769,398,1,3898
1770,397,1,3027
1771,396,1,1831
1772,395,1,2282
1773,394,1,4138
1774,393,1,4049
1775,392,1,4272
1776,391,1,4089
1777,390,1,3277
1778,389,1,1954
1779,388,1,2111
1780,387,1,3625
1781,386,1,4415
1782,385,1,3854
1783,384,1,4114
1784,383,1,3492
1785,382,1,1849
1786,381,1,2239
1787,380,1,3976
1788,379,1,4061
1789,378,1,3702
1790,377,1,3622
1791,376,1,3039
1792,375,1,1848
1793,374,1,2082
1794,373,1,3807
1795,372,1,3993
1796,371,1,3567
1797,370,1,3484
1798,369,1,2994
1799,368,1,1793
1800,367,1,2422
1801,366,1,4070
1802,365,1,3987
1803,364,1,3355
1804,363,1,2925
1805,362,1,3010
1806,361,1,1896
1807,360,1,2501
1808,359,1,3851
1809,358,1,4403
1810,357,1,4627
1811,356,1,4221
1812,355,1,3025
1813,354,1,1998
1814,353,1,2297
1815,352,1,3192
1816,351,1,4087
1817,350,1,4787
1818,349,1,4483
1819,348,1,3571
1820,347,1,2263
1821,346,1,2948
1822,345,1,4521
1823,344,1,4563
1824,343,1,4598
1825,342,1,4603
1826,341,1,3349
1827,340,1,2437
1828,339,1,3188
1829,338,1,5291
1830,337,1,5477
1831,336,1,5257
1832,335,1,5000
1833,334,1,3890
1834,333,1,2654
1835,332,1,3656
1836,331,1,5223
1837,330,1,5276
1838,329,1,5476
1839,328,1,5196
1840,327,1,4052
1841,326,1,2635
1842,325,1,4076
1843,324,1,5167
1844,323,1,4972
1845,322,1,5143
1846,321,1,4753
1847,320,1,3795
1848,319,1,2920
1849,318,1,3950
1850,317,1,5493
1851,316,1,5652
1852,315,1,5617
1853,314,1,5234
1854,313,1,4118
1855,312,1,2863
1856,311,1,4032
1857,310,1,5476
1858,309,1,5542
1859,308,1,5340
1860,307,1,5388
1861,306,1,4309
1862,305,1,3117
1863,304,1,4234
1864,303,1,5698
1865,302,1,5721
1866,301,1,6018
1867,300,1,5563
1868,299,1,4159
1869,298,1,2732
1870,297,1,3901
1871,296,1,5749
1872,295,1,5821
1873,294,1,5647
1874,293,1,5219
1875,292,1,4054
1876,291,1,2815
1877,290,1,4253
1878,289,1,5816
1879,288,1,5843
1880,287,1,6058
1881,286,1,6291
1882,285,1,4604
1883,284,1,3354
1884,283,1,4190
1885,282,1,5931
1886,281,1,6443
1887,280,1,5805
1888,279,1,5753
1889,278,1,4709
1890,277,1,3418
1891,276,1,4821
1892,275,1,6444
1893,274,1,6607
1894,273,1,6726
1895,272,1,6334
1896,271,1,4575
1897,270,1,3414
1898,269,1,4535
1899,268,1,5970
1900,267,1,5630
1901,266,1,5384
1902,265,1,4201
1903,264,1,3799
1904,263,1,3301
1905,262,1,4420
1906,261,1,6384
1907,260,1,6964
1908,259,1,6957
1909,258,1,6350
1910,257,1,5324
1911,256,1,3795
1912,255,1,5013
1913,254,1,7005
1914,253,1,6606
1915,252,1,6686
1916,251,1,6163
1917,250,1,4581
1918,249,1,2930
1919,248,1,3585
1920,247,1,4925
1921,246,1,4743
1922,245,1,4716
1923,244,1,3793
1924,243,1,2688
1925,242,1,1682
1926,241,1,1880
1927,240,1,2451
1928,239,1,1644
1929,238,1,1483
1930,237,1,1864
1931,236,1,1927
1932,235,1,1679
1933,234,1,1962
1934,233,1,2469
1935,232,1,1750
1936,231,1,1554
1937,230,1,2820
1938,229,1,2970
1939,228,1,2111
1940,227,1,2393
1941,226,1,3704
1942,225,1,3760
1943,224,1,3698
1944,223,1,4243
1945,222,1,3177
1946,221,1,2361
1947,220,1,2762
1948,219,1,4298
1949,218,1,3838
1950,217,1,3754
1951,216,1,3817
1952,215,1,3175
1953,214,1,2336
1954,213,1,2597
1955,212,1,3715
1956,211,1,4459
1957,210,1,4483
1958,209,1,4225
1959,208,1,3111
1960,207,1,2353
1961,206,1,3198
1962,205,1,4432
1963,204,1,4664
1964,203,1,4471
1965,202,1,4486
1966,201,1,3527
1967,200,1,2514
1968,199,1,2993
1969,198,1,4728
1970,197,1,4883
1971,196,1,5071
1972,195,1,4638
1973,194,1,3757
1974,193,1,2761
1975,192,1,3423
1976,191,1,5066
1977,190,1,4928
1978,189,1,4996
1979,188,1,5004
1980,187,1,3675
1981,186,1,2556
1982,185,1,3732
1983,184,1,4958
1984,183,1,4869
1985,182,1,5224
1986,181,1,4890
1987,180,1,3678
1988,179,1,2456
1989,178,1,3444
1990,177,1,5000
1991,176,1,5496
1992,175,1,5059
1993,174,1,4813
1994,173,1,3810
1995,172,1,2682
1996,171,1,3332
1997,170,1,4872
1998,169,1,5097
1999,168,1,4714
2000,167,1,5048
2001,166,1,3698
2002,165,1,2670
2003,164,1,3416
2004,163,1,4731
2005,162,1,4820
2006,161,1,4813
2007,160,1,4393
2008,159,1,3316
2009,158,1,2416
2010,157,1,2934
2011,156,1,2732
2012,155,1,3805
2013,154,1,3748
2014,153,1,3678
2015,152,1,3322
2016,151,1,2701
2017,150,1,3263
2018,149,1,4105
2019,148,1,4156
2020,147,1,4153
2021,146,1,4256
2022,145,1,3818
2023,144,1,3045
2024,143,1,4079
2025,142,1,4899
2026,141,1,4943
2027,140,1,4907
2028,139,1,4933
2029,138,1,4665
2030,137,1,3366
2031,136,1,3976
2032,135,1,4981
2033,134,1,5331
2034,133,1,5331
2035,132,1,5063
2036,131,1,4252
2037,130,1,3656
2038,129,1,4152
2039,128,1,5089
2040,127,1,5491
2041,126,1,5665
2042,125,1,5423
2043,124,1,4688
2044,123,1,4055
2045,122,1,4830
2046,121,1,5908
2047,120,1,5633
2048,119,1,5786
2049,118,1,5967
2050,117,1,4937
2051,116,1,4327
2052,115,1,5086
2053,114,1,6038
2054,113,1,6324
2055,112,1,6062
2056,111,1,5520
2057,110,1,4670
2058,109,1,4171
2059,108,1,4716
2060,107,1,5939
2061,106,1,6361
2062,105,1,6659
2063,104,1,6264
2064,103,1,5359
2065,102,1,4593
2066,101,1,5092
2067,100,1,6563
2068,99,1,6124
2069,98,1,5817
2070,97,1,6057
2071,96,1,4958
2072,95,1,3651
2073,94,1,4248
2074,93,1,5624
2075,92,1,5595
2076,91,1,5213
2077,90,1,5156
2078,89,1,4350
2079,88,1,3446
2080,87,1,3945
2081,86,1,4639
2082,85,1,5224
2083,84,1,5242
2084,83,1,4939
2085,82,1,4387
2086,81,1,3327
2087,80,1,3692
2088,79,1,4734
2089,78,1,4727
2090,77,1,4994
2091,76,1,4767
2092,75,1,4124
2093,74,1,3230
2094,73,1,3906
2095,72,1,4895
2096,71,1,4871
2097,70,1,4989
2098,69,1,4633
2099,68,1,4475
2100,67,1,2967
2101,66,1,3507
2102,65,1,4337
2103,64,1,4470
2104,63,1,4439
2105,62,1,4895
2106,61,1,3924
2107,60,1,2827
2108,59,1,3481
2109,58,1,4627
2110,57,1,4561
2111,56,1,4626
2112,55,1,4137
2113,54,1,3555
2114,53,1,2671
2115,52,1,3486
2116,51,1,4000
2117,50,1,3828
2118,49,1,3935
2119,48,1,3633
2120,47,1,2997
2121,46,1,2194
2122,45,1,2948
2123,44,1,4049
2124,43,1,3792
2125,42,1,4029
2126,41,1,3945
2127,40,1,3523
2128,39,1,2646
2129,38,1,3454
2130,37,1,3703
2131,36,1,3680
2132,35,1,3479
2133,34,1,3756
2134,33,1,3289
2135,32,1,2416
2136,31,1,2793
2137,30,1,3749
2138,29,1,3786
2139,28,1,4002
2140,27,1,3823
2141,26,1,3430
2142,25,1,2400
2143,24,1,2835
2144,23,1,4001
2145,22,1,3795
2146,21,1,3903
2147,20,1,3397
2148,19,1,3005
2149,18,1,2305
2150,17,1,2696
2151,16,1,3866
2152,15,1,3826
2153,14,1,3673
2154,13,1,3660
2155,12,1,3136
2156,11,1,2223
2157,10,1,2623
2158,9,1,3638
2159,8,1,3740
2160,7,1,3767
2161,6,1,3621
2162,5,1,2971
2163,4,1,2221
2164,3,1,2724
2165,2,1,3456
2166,1,1,3581
2167,0,1,2064
